Pcode,Locality,State,Comments,Category,Longitude,Latitude
0200,"AUSTRALIAN NATIONAL UNIVERSITY",ACT,"PO BOXES","Post Office Boxes",,
0800,"DARWIN CITY",NT,,"Delivery Area",130.843429,-12.463383
0801,DARWIN,NT,"GPO BOXES & BAGS","Post Office Boxes",,
0803,"WAGAIT BEACH",NT,"PO BOXES","Post Office Boxes",,
0804,PARAP,NT,"PO BOXES","Post Office Boxes",,
0810,ALAWA,NT,,"Delivery Area",130.873810,-12.379836
0810,BRINKIN,NT,,"Delivery Area",130.865910,-12.365619
0810,CASUARINA,NT,,"Delivery Area",130.881382,-12.374235
0810,"COCONUT GROVE",NT,,"Delivery Area",130.849135,-12.396013
0810,JINGILI,NT,,"Delivery Area",130.872028,-12.389296
0810,"LEE POINT",NT,,"Delivery Area",130.888071,-12.336329
0810,LYONS,NT,,"Delivery Area",130.889032,-12.358598
0810,MILLNER,NT,,"Delivery Area",130.862761,-12.391679
0810,MOIL,NT,,"Delivery Area",130.881687,-12.389412
0810,MUIRHEAD,NT,,"Delivery Area",130.895544,-12.358375
0810,NAKARA,NT,,"Delivery Area",130.877529,-12.370680
0810,NIGHTCLIFF,NT,,"Delivery Area",130.840821,-12.390217
0810,"RAPID CREEK",NT,,"Delivery Area",130.848228,-12.371861
0810,TIWI,NT,,"Delivery Area",130.874761,-12.357458
0810,WAGAMAN,NT,,"Delivery Area",130.884772,-12.381105
0810,WANGURI,NT,,"Delivery Area",130.887505,-12.371504
0811,CASUARINA,NT,"PO BOXES","Post Office Boxes",,
0812,ANULA,NT,,"Delivery Area",130.890513,-12.390275
0812,"BUFFALO CREEK",NT,,"Delivery Area",130.917701,-12.348129
0812,HOLMES,NT,,"Delivery Area",130.923973,-12.387608
0812,KARAMA,NT,,"Delivery Area",130.915510,-12.400333
0812,LEANYER,NT,,"Delivery Area",130.903609,-12.367774
0812,MALAK,NT,,"Delivery Area",130.903991,-12.392715
0812,MARRARA,NT,,"Delivery Area",130.895377,-12.398926
0812,WULAGI,NT,,"Delivery Area",130.895163,-12.383005
0813,KARAMA,NT,"PO BOXES","Post Office Boxes",,
0814,NIGHTCLIFF,NT,"PO BOXES","Post Office Boxes",,
0815,"CHARLES DARWIN UNIVERSITY",NT,"PO BOXES","Post Office Boxes",,
0820,BAYVIEW,NT,,"Delivery Area",130.856944,-12.439233
0820,"CHARLES DARWIN",NT,,"Delivery Area",,
0820,COONAWARRA,NT,,"Delivery Area",130.907214,-12.434012
0820,"DARWIN DC",NT,,"Delivery Area",,
0820,"EAST POINT",NT,,"Delivery Area",130.825503,-12.408339
0820,EATON,NT,,"Delivery Area",130.882283,-12.410790
0820,"FANNIE BAY",NT,,"Delivery Area",130.836650,-12.427527
0820,LARRAKEYAH,NT,,"Delivery Area",130.825032,-12.455312
0820,LUDMILLA,NT,,"Delivery Area",130.846729,-12.411740
0820,PARAP,NT,,"Delivery Area",130.844293,-12.434056
0820,"STUART PARK",NT,,"Delivery Area",130.848101,-12.446372
0820,"THE GARDENS",NT,,"Delivery Area",130.831650,-12.446314
0820,"THE NARROWS",NT,,"Delivery Area",130.859562,-12.427182
0820,WINNELLIE,NT,,"Delivery Area",130.883445,-12.429574
0820,WOOLNER,NT,,"Delivery Area",130.850552,-12.434981
0821,WINNELLIE,NT,"PO BOXES","Post Office Boxes",,
0822,"ACACIA HILLS",NT,,"Delivery Area",131.141973,-12.770325
0822,ANGURUGU,NT,,"Delivery Area",136.461381,-13.980248
0822,ANINDILYAKWA,NT,,"Delivery Area",136.559347,-13.951491
0822,"BATHURST ISLAND",NT,,"Delivery Area",,
0822,"BEES CREEK",NT,,"Delivery Area",131.055058,-12.572795
0822,BELYUEN,NT,,"Delivery Area",130.683183,-12.538192
0822,"BLACK JUNGLE",NT,,"Delivery Area",131.210479,-12.521399
0822,BLACKMORE,NT,,"Delivery Area",130.921217,-12.695579
0822,BURRUNDIE,NT,,"Delivery Area",131.864235,-13.389828
0822,BYNOE,NT,,"Delivery Area",130.635944,-12.791232
0822,"BYNOE HARBOUR",NT,,"Delivery Area",130.533593,-12.636258
0822,"CAMP CREEK",NT,,"Delivery Area",130.934694,-13.185750
0822,"CHANNEL ISLAND",NT,,"Delivery Area",130.860176,-12.552695
0822,"CHARLES DARWIN",NT,,"Delivery Area",130.876030,-12.451031
0822,CHARLOTTE,NT,,"Delivery Area",130.794076,-12.844402
0822,CLARAVALE,NT,,"Delivery Area",131.656043,-14.368088
0822,COBOURG,NT,,"Delivery Area",132.160458,-11.334177
0822,"COLLETT CREEK",NT,,"Delivery Area",130.926666,-12.903623
0822,"COOMALIE CREEK",NT,,"Delivery Area",131.175932,-13.001301
0822,"COX PENINSULA",NT,,"Delivery Area",130.717479,-12.567606
0822,DALY,NT,,"Delivery Area",131.247693,-12.742324
0822,"DALY RIVER",NT,,"Delivery Area",130.519517,-13.428967
0822,"DARWIN RIVER DAM",NT,,"Delivery Area",131.044501,-12.895975
0822,DOUGLAS-DALY,NT,,"Delivery Area",131.525688,-13.859241
0822,"EAST ARM",NT,,"Delivery Area",130.901446,-12.477440
0822,"EAST ARNHEM",NT,,"Delivery Area",135.778851,-12.634726
0822,ELRUNDIE,NT,,"Delivery Area",130.940997,-12.489179
0822,"EVA VALLEY",NT,,"Delivery Area",131.003406,-13.131598
0822,"FINNISS VALLEY",NT,,"Delivery Area",130.951782,-13.064486
0822,FLEMING,NT,,"Delivery Area",131.296742,-13.852011
0822,"FLY CREEK",NT,,"Delivery Area",131.068877,-12.797528
0822,"FREDS PASS",NT,,"Delivery Area",131.053790,-12.541036
0822,GALIWINKU,NT,,"Delivery Area",135.586512,-12.006136
0822,"GLYDE POINT",NT,,"Delivery Area",131.078610,-12.181878
0822,"GOULBURN ISLAND",NT,,"Delivery Area",,
0822,GUNBALANYA,NT,,"Delivery Area",133.005271,-12.354923
0822,"GUNN POINT",NT,,"Delivery Area",131.017312,-12.181745
0822,"HIDDEN VALLEY",NT,,"Delivery Area",130.908195,-12.449121
0822,HOTHAM,NT,,"Delivery Area",131.392831,-12.384269
0822,HUGHES,NT,,"Delivery Area",131.100810,-12.686777
0822,KAKADU,NT,,"Delivery Area",132.439059,-12.775372
0822,KOOLPINYAH,NT,,"Delivery Area",131.216455,-12.370992
0822,"LAKE BENNETT",NT,,"Delivery Area",131.198915,-12.926731
0822,"LAMBELLS LAGOON",NT,,"Delivery Area",131.227322,-12.578651
0822,"LITCHFIELD PARK",NT,,"Delivery Area",130.876729,-13.277716
0822,LIVINGSTONE,NT,,"Delivery Area",131.055147,-12.745719
0822,"LLOYD CREEK",NT,,"Delivery Area",131.160797,-12.677777
0822,MANDORAH,NT,,"Delivery Area",130.760653,-12.442353
0822,MANINGRIDA,NT,,"Delivery Area",134.230976,-12.052272
0822,MAPURU,NT,,"Delivery Area",,
0822,MARANUNGA,NT,,"Delivery Area",130.710018,-13.709685
0822,"MARGARET RIVER",NT,,"Delivery Area",131.365973,-13.234114
0822,MARRAKAI,NT,,"Delivery Area",131.446642,-12.721769
0822,"MCMINNS LAGOON",NT,,"Delivery Area",131.067181,-12.539104
0822,"MICKET CREEK",NT,,"Delivery Area",130.952395,-12.365158
0822,"MIDDLE POINT",NT,,"Delivery Area",131.326741,-12.604314
0822,MILIKAPITI,NT,,"Delivery Area",130.659315,-11.417018
0822,MILINGIMBI,NT,,"Delivery Area",134.914507,-12.100117
0822,MILYAKBURRA,NT,,"Delivery Area",136.201426,-13.778328
0822,MINJILANG,NT,,"Delivery Area",132.572457,-11.144910
0822,"MOUNT BUNDEY",NT,,"Delivery Area",131.750336,-13.034773
0822,MURRUMUJUK,NT,,"Delivery Area",131.042772,-12.271601
0822,NAUIYU,NT,,"Delivery Area",130.721341,-13.725571
0822,NEMARLUK,NT,,"Delivery Area",130.141164,-14.044150
0822,NGANMARRIYANGA,NT,,"Delivery Area",129.876752,-14.329555
0822,NUMBULWAR,NT,,"Delivery Area",135.742103,-14.272283
0822,NUMBURINDI,NT,,"Delivery Area",135.875556,-13.834640
0822,OENPELLI,NT,,"Delivery Area",,
0822,PEPPIMENARTI,NT,,"Delivery Area",130.079217,-14.147858
0822,PIRLANGIMPI,NT,,"Delivery Area",130.424171,-11.393835
0822,"POINT STUART",NT,,"Delivery Area",131.872047,-12.524028
0822,PULARUMPI,NT,,"Delivery Area",,
0822,RAKULA,NT,,"Delivery Area",130.444762,-13.021927
0822,RAMINGINING,NT,,"Delivery Area",134.936931,-12.330982
0822,"ROBIN FALLS",NT,,"Delivery Area",131.128727,-13.368096
0822,"RUM JUNGLE",NT,,"Delivery Area",131.029596,-12.994693
0822,"SANDPALMS ROADHOUSE",NT,,"Delivery Area",,
0822,SOUTHPORT,NT,,"Delivery Area",130.953065,-12.729397
0822,STAPLETON,NT,,"Delivery Area",130.999101,-13.192034
0822,THAMARRURR,NT,,"Delivery Area",129.637231,-14.239245
0822,TIPPERARY,NT,,"Delivery Area",130.827030,-13.948081
0822,TIVENDALE,NT,,"Delivery Area",130.949336,-12.467877
0822,"TIWI ISLANDS",NT,,"Delivery Area",130.822579,-11.515348
0822,"TORTILLA FLATS",NT,,"Delivery Area",131.171700,-13.097810
0822,"TUMBLING WATERS",NT,,"Delivery Area",130.962514,-12.755144
0822,UMBAKUMBA,NT,,"Delivery Area",136.805207,-13.861301
0822,"VERNON ISLANDS",NT,,"Delivery Area",131.086264,-12.066488
0822,WADEYE,NT,,"Delivery Area",129.516246,-14.247813
0822,"WAGAIT BEACH",NT,,"Delivery Area",130.745275,-12.436004
0822,"WAK WAK",NT,,"Delivery Area",131.252180,-12.666349
0822,WARRUWI,NT,,"Delivery Area",133.379828,-11.656644
0822,WEDDELL,NT,,"Delivery Area",131.002544,-12.617271
0822,"WEST ARNHEM",NT,,"Delivery Area",133.692115,-12.025343
0822,WICKHAM,NT,,"Delivery Area",130.923855,-12.548794
0822,WINNELLIE,NT,"PO BAGS","Delivery Area",,
0822,WISHART,NT,,"Delivery Area",130.934753,-12.456965
0822,WURRUMIYANGA,NT,,"Delivery Area",130.624579,-11.755657
0828,BERRIMAH,NT,,"Delivery Area",130.930175,-12.443632
0828,"KNUCKEY LAGOON",NT,,"Delivery Area",130.945702,-12.424307
0829,HOLTZE,NT,,"Delivery Area",131.004645,-12.448628
0829,PINELANDS,NT,,"Delivery Area",130.956927,-12.456546
0830,ARCHER,NT,,"Delivery Area",130.958076,-12.521999
0830,DRIVER,NT,,"Delivery Area",130.976937,-12.483505
0830,DURACK,NT,,"Delivery Area",130.972800,-12.472574
0830,FARRAR,NT,,"Delivery Area",130.996748,-12.479879
0830,GRAY,NT,,"Delivery Area",130.981510,-12.490492
0830,"MARLOW LAGOON",NT,,"Delivery Area",130.957235,-12.496070
0830,MOULDEN,NT,,"Delivery Area",130.974395,-12.506019
0830,"PALMERSTON CITY",NT,,"Delivery Area",130.985067,-12.479059
0830,"SHOAL BAY",NT,,"Delivery Area",131.053547,-12.365896
0830,WOODROFFE,NT,,"Delivery Area",130.980703,-12.503225
0830,YARRAWONGA,NT,,"Delivery Area",130.990031,-12.473029
0831,"PALMERSTON CITY",NT,"PO BOXES","Post Office Boxes",,
0832,BAKEWELL,NT,,"Delivery Area",130.992951,-12.496660
0832,BELLAMACK,NT,,"Delivery Area",130.983038,-12.515465
0832,GUNN,NT,,"Delivery Area",130.994406,-12.487355
0832,JOHNSTON,NT,,"Delivery Area",131.006243,-12.491788
0832,MITCHELL,NT,,"Delivery Area",130.997453,-12.530327
0832,ROSEBERY,NT,,"Delivery Area",130.991245,-12.508560
0832,ZUCCOLI,NT,,"Delivery Area",131.003681,-12.511282
0834,VIRGINIA,NT,,"Delivery Area",131.019196,-12.541361
0835,"HOWARD SPRINGS",NT,,"Delivery Area",131.062166,-12.467214
0836,GIRRAWEEN,NT,,"Delivery Area",131.096292,-12.525587
0836,HERBERT,NT,,"Delivery Area",131.159596,-12.525601
0836,"HUMPTY DOO",NT,,"Delivery Area",131.125804,-12.584140
0837,MANTON,NT,,"Delivery Area",131.190020,-12.813111
0837,NOONAMAH,NT,,"Delivery Area",131.091551,-12.642754
0838,"BERRY SPRINGS",NT,,"Delivery Area",131.004799,-12.722043
0839,COOLALINGA,NT,,"Delivery Area",131.041878,-12.521275
0840,"DUNDEE BEACH",NT,,"Delivery Area",130.357949,-12.732507
0840,"DUNDEE DOWNS",NT,,"Delivery Area",130.511399,-12.765581
0840,"DUNDEE FOREST",NT,,"Delivery Area",130.448836,-12.721541
0841,"DARWIN RIVER",NT,,"Delivery Area",130.964070,-12.816021
0845,BATCHELOR,NT,,"Delivery Area",131.046743,-13.087060
0846,"ADELAIDE RIVER",NT,,"Delivery Area",131.167428,-13.166117
0847,"PINE CREEK",NT,,"Delivery Area",131.826190,-13.823568
0850,COSSACK,NT,,"Delivery Area",132.176410,-14.462067
0850,EMUNGALAN,NT,,"Delivery Area",132.256327,-14.404550
0850,KATHERINE,NT,,"Delivery Area",132.270031,-14.449688
0850,"KATHERINE EAST",NT,,"Delivery Area",132.284919,-14.464023
0850,"KATHERINE SOUTH",NT,,"Delivery Area",132.262163,-14.475077
0850,LANSDOWNE,NT,,"Delivery Area",132.384213,-14.421046
0851,KATHERINE,NT,"PO BOXES","Post Office Boxes",,
0852,AMANBIDJI,NT,,"Delivery Area",,
0852,ARNOLD,NT,,"Delivery Area",134.383446,-16.140756
0852,BAINES,NT,,"Delivery Area",129.690293,-15.933234
0852,BARUNGA,NT,,"Delivery Area",132.866906,-14.528763
0852,"BESWICK CREEK",NT,,"Delivery Area",133.071299,-14.489101
0852,BINJARI,NT,,"Delivery Area",132.183896,-14.551753
0852,BIRDUM,NT,,"Delivery Area",133.151240,-16.232016
0852,BRADSHAW,NT,,"Delivery Area",130.483503,-15.075301
0852,BUCHANAN,NT,,"Delivery Area",129.715476,-17.705623
0852,"BULMAN WEEMOL",NT,,"Delivery Area",134.313526,-13.654317
0852,CRESWELL,NT,,"Delivery Area",135.912477,-17.690560
0852,DAGURAGU,NT,,"Delivery Area",130.805032,-17.419913
0852,"DALY WATERS",NT,,"Delivery Area",133.378873,-16.262136
0852,DELAMERE,NT,,"Delivery Area",131.603248,-15.329531
0852,EDITH,NT,,"Delivery Area",131.923429,-14.062225
0852,ELSEY,NT,,"Delivery Area",133.387793,-15.131170
0852,FLORINA,NT,,"Delivery Area",131.911481,-14.518188
0852,"FLYING FOX",NT,,"Delivery Area",134.121198,-14.393000
0852,GREGORY,NT,,"Delivery Area",130.354393,-16.285252
0852,"GULUNG MARDRULK",NT,,"Delivery Area",133.580360,-13.563265
0852,GURINDJI,NT,,"Delivery Area",130.780656,-18.272202
0852,"HELEN SPRINGS STATION",NT,,"Delivery Area",,
0852,JILKMINGGAN,NT,,"Delivery Area",133.294656,-14.961782
0852,KALKARINDJI,NT,,"Delivery Area",130.833375,-17.448373
0852,KATHERINE,NT,"PO BAGS","Delivery Area",,
0852,LAJAMANU,NT,,"Delivery Area",130.645647,-18.333364
0852,LARRIMAH,NT,,"Delivery Area",133.221213,-15.607247
0852,LIMMEN,NT,,"Delivery Area",134.924829,-15.258862
0852,MANBULLOO,NT,,"Delivery Area",132.248320,-14.809063
0852,MARANBOY,NT,,"Delivery Area",,
0852,MATARANKA,NT,,"Delivery Area",133.043871,-14.954910
0852,MCARTHUR,NT,,"Delivery Area",136.068196,-16.172123
0852,MINIYERRI,NT,,"Delivery Area",134.083278,-15.227760
0852,NGUKURR,NT,,"Delivery Area",134.743236,-14.732961
0852,NITJPURRU,NT,,"Delivery Area",131.214981,-16.797824
0852,NITMILUK,NT,,"Delivery Area",132.625604,-14.155736
0852,"NUTWOOD DOWNS",NT,,"Delivery Area",,
0852,"PELLEW ISLANDS",NT,,"Delivery Area",136.816497,-15.679050
0852,"ROBINSON RIVER",NT,,"Delivery Area",136.980898,-16.759450
0852,"STURT PLATEAU",NT,,"Delivery Area",132.653665,-15.625061
0852,"TANAMI EAST",NT,,"Delivery Area",132.808471,-18.429746
0852,"TIMBER CREEK",NT,,"Delivery Area",130.492658,-15.654078
0852,"TOP SPRINGS",NT,,"Delivery Area",131.799668,-16.548416
0852,URALLA,NT,,"Delivery Area",132.297124,-14.487970
0852,VENN,NT,,"Delivery Area",132.559084,-14.548142
0852,"VICTORIA RIVER",NT,,"Delivery Area",131.519390,-16.638772
0852,WARUMUNGU,NT,,"Delivery Area",133.835777,-20.137915
0852,WILTON,NT,,"Delivery Area",134.894197,-14.408898
0852,WUGULARR,NT,,"Delivery Area",133.116836,-14.557198
0852,YARRALIN,NT,,"Delivery Area",130.839961,-16.440350
0853,TINDAL,NT,,"Delivery Area",132.380278,-14.525869
0854,BORROLOOLA,NT,,"Delivery Area",136.308618,-16.071169
0860,"TENNANT CREEK",NT,,"Delivery Area",134.191718,-19.659063
0861,"TENNANT CREEK",NT,"PO BOXES","Post Office Boxes",,
0862,CALVERT,NT,,"Delivery Area",137.298289,-16.802266
0862,ELLIOTT,NT,,"Delivery Area",133.542230,-17.552406
0862,"NEWCASTLE WATERS",NT,,"Delivery Area",133.399112,-17.366005
0862,NICHOLSON,NT,,"Delivery Area",137.218517,-18.503883
0862,PAMAYU,NT,,"Delivery Area",133.904085,-17.601339
0862,TABLELANDS,NT,,"Delivery Area",135.205930,-19.026439
0862,"TENNANT CREEK",NT,"PO BAGS","Delivery Area",,
0870,"ALICE SPRINGS",NT,,"Delivery Area",133.880130,-23.698237
0870,ARALUEN,NT,,"Delivery Area",133.852047,-23.697092
0870,BRAITLING,NT,,"Delivery Area",133.863452,-23.674320
0870,CICCONE,NT,,"Delivery Area",133.869747,-23.692237
0870,"DESERT SPRINGS",NT,,"Delivery Area",133.888235,-23.712214
0870,"EAST SIDE",NT,,"Delivery Area",133.896115,-23.692126
0870,GILLEN,NT,,"Delivery Area",133.866000,-23.710803
0870,SADADEEN,NT,,"Delivery Area",133.900140,-23.702543
0870,STUART,NT,,"Delivery Area",133.878758,-23.676366
0870,"THE GAP",NT,,"Delivery Area",133.873456,-23.715258
0870,"WHITE GUMS",NT,,"Delivery Area",133.756513,-23.750343
0871,"ALICE SPRINGS",NT,"PO BOXES","Post Office Boxes",,
0872,"ALICE SPRINGS",NT,"PO BAGS","Delivery Area",,
0872,"ALI CURUNG",NT,,"Delivery Area",134.321238,-21.024199
0872,AMATA,SA,,"Delivery Area",131.174185,-26.129051
0872,AMPILATWATJA,NT,,"Delivery Area",135.242483,-21.664907
0872,"ANANGU PITJANTJATJARA YANKUNYTJATJARA",SA,,"Delivery Area",131.320024,-27.057962
0872,ANATYE,NT,,"Delivery Area",136.989026,-23.064027
0872,ANMATJERE,NT,,"Delivery Area",133.317764,-22.106923
0872,AREYONGA,NT,,"Delivery Area",132.271647,-24.085513
0872,ATITJERE,NT,,"Delivery Area",134.932542,-22.982066
0872,"AYERS RANGE SOUTH",SA,,"Delivery Area",133.283527,-26.190910
0872,"BARROW CREEK",NT,,"Delivery Area",,
0872,"BURT PLAIN",NT,,"Delivery Area",133.473590,-23.389274
0872,"CANTEEN CREEK",NT,,"Delivery Area",135.586855,-20.637114
0872,"CHILLA WELL",NT,,"Delivery Area",131.427239,-21.458373
0872,COSTELLO,NT,,"Delivery Area",136.987857,-20.920290
0872,DAVENPORT,NT,,"Delivery Area",134.919507,-20.896178
0872,"DE ROSE HILL",SA,,"Delivery Area",133.322814,-26.534295
0872,ENGAWALA,NT,,"Delivery Area",134.457522,-22.804324
0872,"ERNABELLA (PUKATJA)",SA,,"Delivery Area",,
0872,FINKE,NT,,"Delivery Area",134.575738,-25.572781
0872,GHAN,NT,,"Delivery Area",134.173871,-25.066893
0872,"GIBSON DESERT NORTH",WA,,"Delivery Area",126.909237,-22.284283
0872,"GIBSON DESERT SOUTH",WA,,"Delivery Area",126.241950,-25.096815
0872,"HAASTS BLUFF",NT,,"Delivery Area",131.864246,-23.452224
0872,HALE,NT,,"Delivery Area",135.285232,-24.047736
0872,HART,NT,,"Delivery Area",135.142474,-23.035107
0872,HERMANNSBURG,NT,,"Delivery Area",132.797961,-23.934710
0872,HUGH,NT,,"Delivery Area",133.610012,-24.112299
0872,IMANPA,NT,,"Delivery Area",132.568282,-25.118493
0872,"INDULKANA (IWANTJA)",SA,,"Delivery Area",,
0872,"ININTI STORE",NT,,"Delivery Area",,
0872,IRRUNYTJU,WA,,"Delivery Area",128.925509,-26.062167
0872,IWANTJA,SA,,"Delivery Area",133.308229,-26.977485
0872,KALKA,SA,,"Delivery Area",129.152692,-26.114268
0872,KALTJITI,SA,,"Delivery Area",132.029974,-26.768895
0872,KALTUKATJARA,NT,,"Delivery Area",129.096286,-24.877423
0872,KANPA,WA,,"Delivery Area",125.616522,-26.530833
0872,KANPI,SA,,"Delivery Area",130.115714,-26.164015
0872,KINTORE,NT,,"Delivery Area",129.384402,-23.273692
0872,KIWIRRKURRA,WA,,"Delivery Area",,
0872,KULGERA,NT,,"Delivery Area",,
0872,KUNPARRKA,NT,,"Delivery Area",131.636239,-23.336974
0872,"LAKE MACKAY",NT,,"Delivery Area",129.829461,-22.568022
0872,LAMBINA,SA,,"Delivery Area",134.046042,-26.997910
0872,LARAMBA,NT,,"Delivery Area",132.761640,-22.541006
0872,"MACDONNELL RANGE",NT,,"Delivery Area",,
0872,MANTAMARU,WA,,"Delivery Area",127.684112,-25.844767
0872,MEREENIE,NT,,"Delivery Area",131.826110,-23.894250
0872,MIMILI,SA,,"Delivery Area",132.698677,-27.024409
0872,"MOUNT LIEBIG",NT,,"Delivery Area",131.277668,-23.268017
0872,"MOUNT ZEIL",NT,,"Delivery Area",132.443820,-23.282060
0872,MURPUTJA,SA,,"Delivery Area",130.181833,-26.163301
0872,MUTITJULU,NT,,"Delivery Area",131.067360,-25.350694
0872,NAMATJIRA,NT,,"Delivery Area",132.730593,-23.992652
0872,"NAPPERBY STATION",NT,,"Delivery Area",,
0872,NGAANYATJARRA-GILES,WA,,"Delivery Area",127.919377,-25.094313
0872,NYAPARI,SA,,"Delivery Area",130.206182,-26.182833
0872,NYIRRIPI,NT,,"Delivery Area",130.565706,-22.646901
0872,PAPULANKUTJA,WA,,"Delivery Area",128.280587,-25.997510
0872,PAPUNYA,NT,,"Delivery Area",131.912311,-23.202710
0872,PATJARR,WA,,"Delivery Area",126.305008,-24.622468
0872,PETERMANN,NT,,"Delivery Area",130.722100,-25.066909
0872,PIPALYATJARA,SA,,"Delivery Area",129.143554,-26.174576
0872,PUKATJA,SA,,"Delivery Area",132.143354,-26.288236
0872,SANDOVER,NT,,"Delivery Area",135.529944,-21.982449
0872,"SANTA TERESA",NT,,"Delivery Area",134.453638,-23.997221
0872,SIMPSON,NT,,"Delivery Area",136.700303,-24.942462
0872,TANAMI,NT,,"Delivery Area",130.512792,-19.840854
0872,TARA,NT,,"Delivery Area",133.998876,-21.485964
0872,"TELEGRAPH STATION",NT,,"Delivery Area",,
0872,TIEYON,SA,,"Delivery Area",133.867139,-26.358527
0872,TITJIKALA,NT,,"Delivery Area",134.075023,-24.678923
0872,"TI TREE",NT,,"Delivery Area",133.413948,-22.133816
0872,TJIRRKARLI,WA,,"Delivery Area",125.361206,-25.966095
0872,TJUKURLA,WA,,"Delivery Area",128.728479,-24.361748
0872,UMUWA,SA,,"Delivery Area",132.025561,-26.478910
0872,"WALLACE ROCKHOLE",NT,,"Delivery Area",133.092233,-24.122805
0872,WANARN,WA,,"Delivery Area",127.572690,-25.202772
0872,WARAKURNA,WA,,"Delivery Area",128.283716,-25.008989
0872,WATARRU,SA,,"Delivery Area",129.903871,-27.025764
0872,WATINUMA,SA,,"Delivery Area",131.880992,-26.521253
0872,WILLOWRA,NT,,"Delivery Area",132.620712,-21.264212
0872,WILORA,NT,,"Delivery Area",133.726597,-21.744455
0872,WINGELLINA,WA,,"Delivery Area",,
0872,WUTUNUGURRA,NT,,"Delivery Area",135.250411,-20.462301
0872,YUELAMU,NT,,"Delivery Area",132.203527,-22.265325
0872,YUENDUMU,NT,,"Delivery Area",131.790852,-22.258788
0872,YULARA,NT,,"Delivery Area",130.970054,-25.206905
0872,YUNYARINYI,SA,,"Delivery Area",132.451290,-26.321043
0873,AMOONGUNA,NT,,"Delivery Area",133.930294,-23.768355
0873,ARUMBERA,NT,,"Delivery Area",133.808827,-23.780056
0873,CONNELLAN,NT,,"Delivery Area",133.906169,-23.795188
0873,"HEAVITREE GAP CPA",NT,"PO BOXES","Delivery Area",,
0873,ILPARPA,NT,,"Delivery Area",133.827714,-23.744909
0873,KILGARIFF,NT,,"Delivery Area",133.881770,-23.772624
0873,ROSS,NT,,"Delivery Area",133.908294,-23.746253
